test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,controller_escenario,00:00:30,global information,69664,69664,0,2322.1,1.17,10.15,63.46,10.01,10.54,11.36,17.06,2.26,0.271,0.271,0.271,18.5
nbomber_default_test_suite_name,nbomber_default_test_name,minimal_apis_escenario,00:00:30,global information,69762,69762,0,2325.4,1.03,10.14,63.49,10.02,10.55,11.37,16.48,2.13,0.271,0.271,0.271,18.5
